#================================================================================================
#velocity        residual norm
  0.5             0.0419436       
1               0.0839373       
1.5             0.125983        
2               0.16808         
2.5             0.210224        
3               0.252414        
3.5             0.294648        
4               0.336924        
4.5             0.37924         
5               0.421594        
5.5             0.463984        
6               0.506407        
6.5             0.548862        
7               0.591348        
7.5             0.633861        
8               0.676476        
8.5             0.719047        
9               0.761639        
9.5             0.804252        
10              0.846883        
