#================================================================================================
#viscosity       residual norm
  0.5             nan             
1               0.777556        
1.5             0.817831        
2               0.835504        
2.5             0.843628        
3               0.847489        
3.5             0.849301        
4               0.85007         
4.5             0.85029         
5               0.850214        
5.5             0.849978        
6               0.84966         
6.5             0.849301        
7               0.848929        
7.5             0.848556        
8               0.848192        
8.5             0.847841        
9               0.847505        
9.5             0.847185        
10              0.846883        
