#================================================================================================
#viscosity       residual norm
  0.5             0.0423399       
1               0.0421613       
1.5             0.042087        
2               0.042047        
2.5             0.0420221       
3               0.0420052       
3.5             0.0419929       
4               0.0419836       
4.5             0.0419763       
5               0.0419704       
5.5             0.0419656       
6               0.0419616       
6.5             0.0419581       
7               0.0419552       
7.5             0.0419526       
8               0.0419504       
8.5             0.0419484       
9               0.0419466       
9.5             0.041945        
10              0.0419436       
