#================================================================================================
#x               y               Psi             Res_Psi         Xi              Res_Xi
#================================================================================================
0               0               0               0               0               0               
0               0.015625        0.00147156      -0              0               0               
0               0.03125         0.00298493      -0              0               0               
0               0.046875        0.0045826       -0              0               0               
0               0.0625          0.00630833      -0              0               0               
0               0.078125        0.00820779      -0              0               0               
0               0.09375         0.010329        -0              0               0               
0               0.109375        0.0127225       -0              0               0               
0               0.125           0.0154417       -0              0               0               
0               0.140625        0.0185427       -0              0               0               
0               0.15625         0.0220834       -0              0               0               
0               0.171875        0.0261232       -0              0               0               
0               0.1875          0.0307216       -0              0               0               
0               0.203125        0.0359367       -0              0               0               
0               0.21875         0.0418233       -0              0               0               
0               0.234375        0.0484313       -0              0               0               
0               0.25            0.0558034       -0              0               0               
0               0.265625        0.063974        -0              0               0               
0               0.28125         0.0729678       -0              0               0               
0               0.296875        0.0827992       -0              0               0               
0               0.3125          0.0934723       -0              0               0               
0               0.328125        0.104981        -0              0               0               
0               0.34375         0.117312        -0              0               0               
0               0.359375        0.130443        -0              0               0               
0               0.375           0.144346        -0              0               0               
0               0.390625        0.158988        -0              0               0               
0               0.40625         0.174334        -0              0               0               
0               0.421875        0.190347        -0              0               0               
0               0.4375          0.206987        -0              0               0               
0               0.453125        0.224216        -0              0               0               
0               0.46875         0.241996        -0              0               0               
0               0.484375        0.260289        -0              0               0               
0               0.5             0.27906         -0              0               0               
0               0.515625        0.298275        -0              0               0               
0               0.53125         0.317902        -0              0               0               
0               0.546875        0.33791         -0              0               0               
0               0.5625          0.35827         -0              0               0               
0               0.578125        0.378957        -0              0               0               
0               0.59375         0.399946        -0              0               0               
0               0.609375        0.421213        -0              0               0               
0               0.625           0.442736        -0              0               0               
0               0.640625        0.464497        -0              0               0               
0               0.65625         0.486476        -0              0               0               
0               0.671875        0.508656        -0              0               0               
0               0.6875          0.531022        -0              0               0               
0               0.703125        0.553559        -0              0               0               
0               0.71875         0.576252        -0              0               0               
0               0.734375        0.599089        -0              0               0               
0               0.75            0.622058        -0              0               0               
0               0.765625        0.645148        -0              0               0               
0               0.78125         0.668348        -0              0               0               
0               0.796875        0.691648        -0              0               0               
0               0.8125          0.71504         -0              0               0               
0               0.828125        0.738513        -0              0               0               
0               0.84375         0.76206         -0              0               0               
0               0.859375        0.785674        -0              0               0               
0               0.875           0.809346        -0              0               0               
0               0.890625        0.833068        -0              0               0               
0               0.90625         0.856835        -0              0               0               
0               0.921875        0.88064         -0              0               0               
0               0.9375          0.904475        -0              0               0               
0               0.953125        0.928335        -0              0               0               
0               0.96875         0.952213        -0              0               0               
0               0.984375        0.976104        -0              0               0               
0               1               1               -0              0               0               

0.015625        0               0               0               0               0               
0.015625        0.015625        0.00147156      1.68817e-05     0.0154962       0.000115606     
0.015625        0.03125         0.00298493      2.763e-05       0.0311157       0.000186643     
0.015625        0.046875        0.0045826       3.88171e-05     0.0469662       0.000255908     
0.015625        0.0625          0.00630833      5.06378e-05     0.063124        0.000322781     
0.015625        0.078125        0.00820779      6.32857e-05     0.079618        0.000386489     
0.015625        0.09375         0.010329        7.69533e-05     0.0964135       0.000446093     
0.015625        0.109375        0.0127225       9.18299e-05     0.113397        0.000500493     
0.015625        0.125           0.0154417       0.0001081       0.130362        0.000548454     
0.015625        0.140625        0.0185427       0.00012594      0.147008        0.000588673     
0.015625        0.15625         0.0220834       0.000145513     0.162934        0.000619872     
0.015625        0.171875        0.0261232       0.000166964     0.177659        0.000640924     
0.015625        0.1875          0.0307216       0.000190414     0.190652        0.000650996     
0.015625        0.203125        0.0359367       0.000215952     0.201369        0.000649698     
0.015625        0.21875         0.0418233       0.000243627     0.209317        0.000637193     
0.015625        0.234375        0.0484313       0.000273445     0.214111        0.000614265     
0.015625        0.25            0.0558034       0.000305361     0.215526        0.000582295     
0.015625        0.265625        0.063974        0.00033928      0.213535        0.000543158     
0.015625        0.28125         0.0729678       0.00037505      0.208316        0.000499036     
0.015625        0.296875        0.0827992       0.000412472     0.200229        0.000452199     
0.015625        0.3125          0.0934723       0.000451299     0.189773        0.000404787     
0.015625        0.328125        0.104981        0.000491244     0.177525        0.000358636     
0.015625        0.34375         0.117312        0.000531989     0.164081        0.000315171     
0.015625        0.359375        0.130443        0.000573189     0.150007        0.000275368     
0.015625        0.375           0.144346        0.000614485     0.1358          0.000239781     
0.015625        0.390625        0.158988        0.000655504     0.121868        0.000208601     
0.015625        0.40625         0.174334        0.000695873     0.108524        0.000181737     
0.015625        0.421875        0.190347        0.000735219     0.0959893       0.000158901     
0.015625        0.4375          0.206987        0.000773179     0.084403        0.000139685     
0.015625        0.453125        0.224216        0.000809398     0.0738371       0.000123623     
0.015625        0.46875         0.241996        0.000843538     0.0643103       0.000110237     
0.015625        0.484375        0.260289        0.000875279     0.0558019       9.90744e-05     
0.015625        0.5             0.27906         0.000904319     0.0482637       8.97211e-05     
0.015625        0.515625        0.298275        0.00093038      0.04163         8.18172e-05     
0.015625        0.53125         0.317902        0.000953207     0.0358255       7.50583e-05     
0.015625        0.546875        0.33791         0.000972571     0.0307708       6.91941e-05     
0.015625        0.5625          0.35827         0.000988269     0.0263866       6.40237e-05     
0.015625        0.578125        0.378957        0.00100012      0.0225969       5.93899e-05     
0.015625        0.59375         0.399946        0.00100799      0.0193302       5.51726e-05     
0.015625        0.609375        0.421213        0.00101174      0.0165209       5.12817e-05     
0.015625        0.625           0.442736        0.00101129      0.0141096       4.76516e-05     
0.015625        0.640625        0.464497        0.00100658      0.0120433       4.42359e-05     
0.015625        0.65625         0.486476        0.000997567     0.0102747       4.10023e-05     
0.015625        0.671875        0.508656        0.000984252     0.00876247      3.79293e-05     
0.015625        0.6875          0.531022        0.000966658     0.00747042      3.5003e-05      
0.015625        0.703125        0.553559        0.000944834     0.00636705      3.22145e-05     
0.015625        0.71875         0.576252        0.00091886      0.00542508      2.95584e-05     
0.015625        0.734375        0.599089        0.000888838     0.00462096      2.70309e-05     
0.015625        0.75            0.622058        0.000854899     0.00393443      2.46294e-05     
0.015625        0.765625        0.645148        0.000817196     0.00334806      2.23511e-05     
0.015625        0.78125         0.668348        0.000775906     0.00284688      2.01932e-05     
0.015625        0.796875        0.691648        0.000731227     0.00241808      1.81521e-05     
0.015625        0.8125          0.71504         0.000683378     0.00205067      1.62235e-05     
0.015625        0.828125        0.738513        0.000632596     0.00173522      1.4402e-05      
0.015625        0.84375         0.76206         0.000579135     0.00146365      1.26818e-05     
0.015625        0.859375        0.785674        0.000523264     0.001229        1.1056e-05      
0.015625        0.875           0.809346        0.000465268     0.00102527      9.51709e-06     
0.015625        0.890625        0.833068        0.000405439     0.000847277     8.05685e-06     
0.015625        0.90625         0.856835        0.000344083     0.000690502     6.66661e-06     
0.015625        0.921875        0.88064         0.000281511     0.000550977     5.33726e-06     
0.015625        0.9375          0.904475        0.000218041     0.000425189     4.05934e-06     
0.015625        0.953125        0.928335        0.000153995     0.000309981     2.82311e-06     
0.015625        0.96875         0.952213        8.96954e-05     0.000202477     1.61865e-06     
0.015625        0.984375        0.976104        2.54651e-05     9.99983e-05     4.35821e-07     
0.015625        1               1               0.529367        0               0               

0.03125         0               0               0               0               0               
0.03125         0.015625        0.00143354      1.00588e-05     0.0311043       0.000190734     
0.03125         0.03125         0.00290825      1.40926e-05     0.0624925       0.000291786     
0.03125         0.046875        0.004466        1.8366e-05      0.0944188       0.000390654     
0.03125         0.0625          0.00615003      2.29536e-05     0.127076        0.000486617     
0.03125         0.078125        0.00800553      2.79303e-05     0.160566        0.000578712     
