#================================================================================================
#viscosity       residual norm
  0.5             0.0850214       
1               0.0846883       
1.5             0.0844625       
2               0.0843274       
2.5             0.0842392       
3               0.0841698       
3.5             0.0841244       
4               0.0840896       
4.5             0.0840621       
5               0.0840398       
5.5             0.0840213       
6               0.0840058       
6.5             0.0839925       
7               0.0839811       
7.5             0.0839712       
8               0.0839624       
8.5             0.0839547       
9               0.0839478       
9.5             0.0839416       
10              0.083936        
