#================================================================================================
#w               residual norm   sweeps to converge
1               0.0777746       3567            
1.01            0.0777741       3503            
1.02            0.0777736       3439            
1.03            0.0777731       3377            
1.04            0.0777726       3316            
1.05            0.0777722       3255            
1.06            0.0777717       3196            
1.07            0.0777712       3138            
1.08            0.0777708       3081            
1.09            0.0777703       3025            
1.1             0.07777         2969            
1.11            0.0777695       2915            
1.12            0.0777691       2861            
1.13            0.0777687       2809            
1.14            0.0777683       2757            
1.15            0.0777679       2706            
1.16            0.0777675       2656            
1.17            0.0777672       2606            
1.18            0.0777668       2558            
1.19            0.0777664       2510            
1.2             0.0777661       2462            
1.21            0.0777658       2416            
1.22            0.0777654       2370            
1.23            0.0777651       2325            
1.24            0.0777648       2280            
1.25            0.0777645       2236            
1.26            0.0777642       2193            
1.27            0.0777639       2150            
1.28            0.0777636       2108            
1.29            0.0777633       2067            
1.3             0.077763        2026            
1.31            0.0777627       1986            
1.32            0.0777624       1946            
1.33            0.0777622       1906            
1.34            0.0777619       1868            
1.35            0.0777617       1829            
1.36            0.0777614       1792            
1.37            0.0777612       1754            
1.38            0.0777609       1717            
1.39            0.0777607       1681            
1.4             0.0777605       1645            
1.41            0.0777602       1610            
1.42            0.07776         1575            
1.43            0.0777598       1540            
1.44            0.0777596       1506            
1.45            0.0777594       1472            
1.46            0.0777592       1439            
1.47            0.077759        1406            
1.48            0.0777588       1373            
1.49            0.0777586       1341            
1.5             0.0777585       1309            
1.51            0.0777583       1277            
1.52            0.0777582       1246            
1.53            0.077758        1215            
1.54            0.0777578       1185            
1.55            0.0777577       1155            
1.56            0.0777576       1125            
1.57            0.0777575       1095            
1.58            0.0777574       1066            
1.59            0.0777573       1037            
1.6             0.0777573       1007            
1.61            0.0777572       978             
1.62            0.0777573       947             
1.63            0.0777574       913             
1.64            0.0777575       865             
1.65            0.0777297       617             
1.66            nan             9999            
1.67            nan             9999            
1.68            nan             9999            
1.69            nan             9999            
1.7             nan             9999            
1.71            nan             9999            
1.72            nan             9999            
1.73            nan             9999            
1.74            nan             9999            
1.75            nan             9999            
1.76            nan             9999            
1.77            nan             9999            
1.78            nan             9999            
1.79            nan             9999            
1.8             nan             9999            
1.81            nan             9999            
1.82            nan             9999            
1.83            nan             9999            
1.84            nan             9999            
1.85            nan             9999            
1.86            nan             9999            
1.87            nan             9999            
1.88            nan             9999            
1.89            nan             9999            
1.9             nan             9999            
1.91            nan             9999            
1.92            nan             9999            
1.93            nan             9999            
1.94            nan             9999            
1.95            nan             9999            
1.96            nan             9999            
1.97            nan             9999            
1.98            nan             9999            
1.99            nan             9999            
